epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,5.87134,2.78932,4.14859,2.56056,1.29546,0,0.34115,0.09729,0.11878,0.03116,0.27292,0.10766,0.09744,0.02425,3.05365,4.12314,2.37701,1.22868,0,0.000653595,0.000653595,0.000653595
2,9.26724,2.82543,3.69078,1.77081,1.21328,0,0.0145,0.29419,0.00619,0.00163,0.0132,0.2867,0.00559,0.0014,3.03194,13.1478,43.4924,1.54765,0,0.00130719,0.00130719,0.00130719
3,12.6495,2.78412,3.5657,1.74059,1.20487,0,0.17474,0.23431,0.09007,0.02419,0.17468,0.20374,0.08165,0.01848,2.95501,4.70428,2.28371,1.4322,0,0.00194759,0.00194759,0.00194759
4,15.9014,2.80147,3.53761,1.73047,1.21424,0,0.20526,0.25907,0.11132,0.03271,0.19636,0.21531,0.09153,0.02227,2.83417,4.81219,2.08928,1.48145,0,0.0019406,0.0019406,0.0019406
5,19.1827,2.71854,3.44832,1.69287,1.17016,0,0.28887,0.28152,0.18398,0.05755,0.28059,0.28037,0.1813,0.04869,2.77205,3.58475,2.06367,1.3026,0,0.0019208,0.0019208,0.0019208
6,22.4222,2.7277,3.43511,1.66738,1.17352,0,0.32114,0.30628,0.21308,0.06418,0.26911,0.31031,0.18305,0.04927,2.74823,3.51415,1.9386,1.27105,0,0.001901,0.001901,0.001901
7,25.6703,2.64923,3.41303,1.65866,1.17788,0,0.28071,0.30397,0.16729,0.0537,0.23445,0.25389,0.13155,0.03335,2.66653,3.51457,2.08671,1.24926,0,0.0018812,0.0018812,0.0018812
8,28.9461,2.68085,3.35831,1.65025,1.14559,0,0.30375,0.29937,0.2035,0.06744,0.2817,0.29188,0.18502,0.04709,2.65477,3.46831,1.76037,1.23386,0,0.0018614,0.0018614,0.0018614
9,32.1226,2.63939,3.32829,1.62496,1.13506,0,0.31975,0.30796,0.22019,0.07206,0.24686,0.27922,0.16911,0.0434,2.56925,3.52632,1.78472,1.21296,0,0.0018416,0.0018416,0.0018416
10,35.3092,2.60261,3.32003,1.62152,1.14057,0,0.24325,0.31606,0.16851,0.05332,0.18846,0.25964,0.12612,0.03392,2.64456,3.53979,1.84406,1.19657,0,0.0018218,0.0018218,0.0018218
11,38.5649,2.60008,3.30837,1.63051,1.13571,0,0.32718,0.31836,0.23608,0.07302,0.30027,0.29937,0.20542,0.05882,2.55215,3.505,1.70075,1.19474,0,0.001802,0.001802,0.001802
12,41.7357,2.54067,3.2898,1.58225,1.13021,0,0.32501,0.31779,0.22916,0.06836,0.25068,0.24986,0.15374,0.03879,2.66718,3.4532,1.73822,1.20036,0,0.0017822,0.0017822,0.0017822
13,44.8942,2.57177,3.28834,1.62145,1.12049,0,0.34229,0.32067,0.22444,0.07067,0.27052,0.28608,0.1695,0.04341,2.63009,3.58758,1.67342,1.15008,0,0.0017624,0.0017624,0.0017624
14,48.0864,2.52988,3.2919,1.60305,1.1203,0,0.35967,0.32124,0.25627,0.08541,0.32693,0.32988,0.24359,0.06557,2.56694,3.42726,1.64066,1.16665,0,0.0017426,0.0017426,0.0017426
15,51.2692,2.50925,3.25117,1.56281,1.11676,0,0.34794,0.32962,0.24537,0.08368,0.28526,0.32239,0.20759,0.05535,2.56712,3.32819,1.62877,1.19803,0,0.0017228,0.0017228,0.0017228
16,54.4452,2.51817,3.23054,1.57456,1.1105,0,0.34917,0.3437,0.25501,0.08269,0.27161,0.28746,0.1884,0.04993,2.57845,3.37198,1.68137,1.16686,0,0.001703,0.001703,0.001703
17,57.6428,2.51933,3.27945,1.58251,1.10973,0,0.33925,0.34317,0.24964,0.0761,0.28512,0.29994,0.18748,0.04789,2.61748,3.48002,1.7324,1.11631,0,0.0016832,0.0016832,0.0016832
18,60.8431,2.52299,3.21175,1.58626,1.09862,0,0.35438,0.35233,0.26121,0.08687,0.31153,0.30973,0.22258,0.05931,2.53272,3.42179,1.58789,1.15893,0,0.0016634,0.0016634,0.0016634
19,64.1822,2.51223,3.26699,1.56169,1.09569,0,0.3644,0.35809,0.27435,0.09398,0.3409,0.35176,0.2509,0.07267,2.44958,3.38203,1.59197,1.14087,0,0.0016436,0.0016436,0.0016436
