epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,5.7833,2.80261,4.17374,2.57146,1.30716,0,0.27125,0.12573,0.09165,0.02528,0.25941,0.07683,0.08107,0.02007,2.98067,4.15146,2.52719,1.27571,0,0.000653595,0.000653595,0.000653595
2,9.25143,2.78577,3.69352,1.75202,1.20044,0,0.00831,0.40454,0.00372,0.0009,0.00602,0.41036,0.00335,0.00083,3.20196,7.70771,209.346,1.55367,0,0.00130719,0.00130719,0.00130719
3,12.5604,2.77049,3.5564,1.72027,1.1913,0,0.24077,0.27357,0.15573,0.04791,0.2056,0.2404,0.12866,0.03346,2.79309,3.89431,2.60887,1.27775,0,0.00194759,0.00194759,0.00194759
4,15.8227,2.81248,3.53887,1.72021,1.19807,0,0.23006,0.2596,0.1297,0.03372,0.22171,0.23283,0.11296,0.02699,2.86821,3.94551,1.96763,1.32999,0,0.0019406,0.0019406,0.0019406
5,19.1075,2.73826,3.4633,1.70348,1.17696,0,0.26399,0.27998,0.17129,0.05048,0.25161,0.27008,0.15033,0.0395,2.77081,3.78079,2.31853,1.2752,0,0.0019208,0.0019208,0.0019208
6,22.4057,2.7293,3.46478,1.67734,1.16066,0,0.30049,0.31257,0.19519,0.05862,0.27614,0.30675,0.1832,0.04958,2.69717,3.4999,1.93603,1.24452,0,0.001901,0.001901,0.001901
7,25.7282,2.65525,3.42432,1.65493,1.16029,0,0.29476,0.32887,0.20676,0.0655,0.26947,0.29627,0.17227,0.04261,2.62786,3.59052,1.8887,1.22821,0,0.0018812,0.0018812,0.0018812
8,29.0158,2.65794,3.34209,1.64945,1.14176,0,0.28985,0.31665,0.20999,0.06247,0.28263,0.28696,0.18699,0.04737,2.72969,3.38062,1.66844,1.19665,0,0.0018614,0.0018614,0.0018614
9,32.3034,2.63846,3.30788,1.6162,1.12681,0,0.27526,0.30617,0.19466,0.05784,0.25603,0.29927,0.17004,0.04321,2.63343,3.53534,1.76405,1.20031,0,0.0018416,0.0018416,0.0018416
10,35.5974,2.63446,3.30096,1.62677,1.13484,0,0.30671,0.31548,0.21849,0.07391,0.25105,0.26717,0.1766,0.04597,2.66838,3.42645,1.75942,1.18853,0,0.0018218,0.0018218,0.0018218
11,38.9782,2.59251,3.33714,1.61739,1.13011,0,0.31511,0.28629,0.20181,0.0666,0.28335,0.27823,0.17983,0.05005,2.639,3.56246,1.7176,1.23342,0,0.001802,0.001802,0.001802
12,42.2923,2.55428,3.27075,1.59061,1.13076,0,0.35045,0.33935,0.26262,0.08152,0.32418,0.26832,0.19849,0.05422,2.59412,3.38593,1.78003,1.18381,0,0.0017822,0.0017822,0.0017822
13,45.6107,2.58326,3.30592,1.60659,1.12221,0,0.27645,0.29104,0.1782,0.04974,0.21509,0.24854,0.12173,0.0299,2.81448,3.55966,1.90569,1.1524,0,0.0017624,0.0017624,0.0017624
14,48.9143,2.52681,3.28598,1.59118,1.12058,0,0.31782,0.3085,0.22048,0.06439,0.28704,0.28754,0.18832,0.04977,2.7418,3.5153,1.74463,1.14542,0,0.0017426,0.0017426,0.0017426
15,52.1869,2.51801,3.27719,1.55259,1.10657,0,0.3736,0.34633,0.26774,0.09025,0.32731,0.32596,0.23057,0.06256,2.55975,3.29542,1.61913,1.1786,0,0.0017228,0.0017228,0.0017228
16,55.5169,2.54588,3.22427,1.57031,1.10731,0,0.34759,0.32305,0.24169,0.08382,0.28654,0.29336,0.20538,0.0535,2.57956,3.36957,1.81918,1.19422,0,0.001703,0.001703,0.001703
17,58.8667,2.53667,3.2922,1.57518,1.10723,0,0.34683,0.3213,0.24648,0.07564,0.26466,0.29744,0.18364,0.04777,2.66456,3.47178,1.7319,1.12666,0,0.0016832,0.0016832,0.0016832
18,62.2169,2.52515,3.19729,1.57636,1.09386,0,0.37112,0.36263,0.27982,0.09145,0.30035,0.32712,0.21819,0.05791,2.49863,3.38232,1.61518,1.17728,0,0.0016634,0.0016634,0.0016634
19,65.5598,2.50283,3.2716,1.5592,1.09855,0,0.4006,0.34633,0.28678,0.09374,0.31274,0.33818,0.23124,0.06665,2.53845,3.37315,1.79361,1.16114,0,0.0016436,0.0016436,0.0016436
