epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,5.68598,2.81805,4.22767,2.63914,1.3421,0,0.01884,0.48114,0.06347,0.01821,0.01691,0.43187,0.038,0.00785,2.87751,3.96949,2.8778,1.33879,0,0.000651515,0.000651515,0.000651515
2,8.94452,2.78495,3.64256,1.7264,1.21437,0,0.24437,0.24757,0.13463,0.04109,0.23776,0.24088,0.13453,0.0328,2.76104,3.85837,1.84399,1.37695,0,0.00130513,0.00130513,0.00130513
3,11.9066,2.72309,3.53291,1.68464,1.19691,0,0.05698,0.3382,0.0337,0.0106,0.05222,0.31144,0.03171,0.00871,2.8341,4.86314,10.1793,1.62282,0,0.00194555,0.00194555,0.00194555
4,14.9311,2.74187,3.48667,1.68247,1.18215,0,0.15667,0.25365,0.08889,0.02618,0.17995,0.29745,0.10684,0.02828,2.82888,3.91419,2.45529,1.38241,0,0.0019406,0.0019406,0.0019406
5,17.8967,2.69986,3.43172,1.65479,1.17964,0,0.27268,0.27007,0.16935,0.05631,0.21225,0.25122,0.14004,0.03555,2.66466,3.70233,2.16672,1.33931,0,0.0019208,0.0019208,0.0019208
6,20.833,2.64829,3.42931,1.60903,1.17917,0,0.24627,0.25,0.15415,0.04956,0.25645,0.25,0.16203,0.04561,2.64102,3.53205,2.18371,1.37239,0,0.001901,0.001901,0.001901
7,23.8626,2.6658,3.3513,1.63813,1.17092,0,0.31125,0.31204,0.21233,0.06723,0.22907,0.26749,0.16185,0.04173,2.63557,3.96563,1.87444,1.28289,0,0.0018812,0.0018812,0.0018812
8,26.885,2.67723,3.3173,1.61189,1.14995,0,0.3323,0.31448,0.22458,0.07186,0.27003,0.30414,0.18865,0.048,2.52354,3.4912,1.73667,1.22019,0,0.0018614,0.0018614,0.0018614
9,29.7689,2.55683,3.31049,1.58392,1.1498,0,0.35853,0.27798,0.22365,0.06937,0.29569,0.27859,0.18895,0.04759,2.64389,3.5294,1.66561,1.27113,0,0.0018416,0.0018416,0.0018416
10,32.588,2.57647,3.26799,1.54769,1.13489,0,0.34327,0.30459,0.23258,0.07774,0.25499,0.2646,0.17294,0.04421,2.58574,3.69287,1.60738,1.23524,0,0.0018218,0.0018218,0.0018218
11,35.4427,2.54971,3.34241,1.57311,1.12684,0,0.28058,0.32968,0.19097,0.06008,0.24789,0.28893,0.15712,0.04148,2.5401,3.42593,1.93454,1.23719,0,0.001802,0.001802,0.001802
12,38.4038,2.57374,3.30625,1.55394,1.13067,0,0.36958,0.30353,0.23641,0.07385,0.2979,0.28954,0.20128,0.05352,2.48945,3.53581,1.8197,1.22247,0,0.0017822,0.0017822,0.0017822
13,41.4203,2.53497,3.24155,1.53896,1.13085,0,0.3761,0.33394,0.26632,0.08682,0.28464,0.29805,0.19972,0.05265,2.52418,3.64942,1.7605,1.20056,0,0.0017624,0.0017624,0.0017624
14,44.3942,2.49125,3.27126,1.53575,1.12328,0,0.34999,0.31691,0.24073,0.07812,0.25411,0.26095,0.16974,0.04656,2.51519,3.54106,1.63197,1.1981,0,0.0017426,0.0017426,0.0017426
15,47.37,2.49333,3.22405,1.53288,1.11003,0,0.37434,0.3309,0.26248,0.09004,0.3218,0.28978,0.2189,0.05968,2.48871,3.37032,1.59705,1.22891,0,0.0017228,0.0017228,0.0017228
16,50.6685,2.48538,3.20567,1.53839,1.12593,0,0.33572,0.34854,0.24822,0.08222,0.31917,0.33029,0.22851,0.06643,2.46784,3.44644,1.67434,1.21822,0,0.001703,0.001703,0.001703
17,53.7565,2.4653,3.17694,1.5139,1.12054,0,0.34347,0.33273,0.24851,0.08218,0.32611,0.25061,0.20346,0.05609,2.50813,3.64251,1.66334,1.21682,0,0.0016832,0.0016832,0.0016832
18,56.6588,2.44227,3.23769,1.51743,1.11608,0,0.35293,0.33394,0.26332,0.08705,0.29838,0.27737,0.19707,0.05197,2.48345,3.46806,1.62624,1.15098,0,0.0016634,0.0016634,0.0016634
19,59.521,2.43204,3.21786,1.50393,1.11331,0,0.37955,0.33151,0.27042,0.08955,0.31541,0.28041,0.20807,0.05436,2.45052,3.40815,1.5746,1.16022,0,0.0016436,0.0016436,0.0016436
20,62.4201,2.45112,3.21351,1.52622,1.10597,0,0.38485,0.34185,0.28685,0.09924,0.33047,0.32178,0.24408,0.0645,2.37374,3.4385,1.58551,1.16827,0,0.0016238,0.0016238,0.0016238
21,65.3979,2.43054,3.15947,1.50627,1.1007,0,0.37489,0.32847,0.26215,0.09037,0.32559,0.30414,0.22065,0.06096,2.46247,3.33388,1.68043,1.21379,0,0.001604,0.001604,0.001604
22,68.2841,2.45001,3.20552,1.50833,1.09364,0,0.37386,0.35949,0.26948,0.08995,0.28988,0.2938,0.18818,0.04945,2.47714,3.65128,1.60926,1.19731,0,0.0015842,0.0015842,0.0015842
23,71.3917,2.43263,3.1344,1.48714,1.08878,0,0.38522,0.33881,0.26486,0.09094,0.31776,0.30049,0.21348,0.05615,2.4031,3.6598,1.61307,1.18826,0,0.0015644,0.0015644,0.0015644
24,74.3791,2.43669,3.10938,1.48992,1.09453,0,0.39792,0.33151,0.2826,0.0905,0.30916,0.30298,0.20124,0.05267,2.41188,3.35277,1.64112,1.147,0,0.0015446,0.0015446,0.0015446
25,77.2624,2.42775,3.15411,1.49544,1.08034,0,0.34891,0.33212,0.26575,0.08622,0.29577,0.29501,0.21049,0.05724,2.52299,3.29963,1.78804,1.16324,0,0.0015248,0.0015248,0.0015248
26,80.1364,2.43748,3.17809,1.50118,1.10431,0,0.36732,0.34367,0.26898,0.08702,0.31483,0.30474,0.20864,0.05406,2.48674,3.52095,1.73535,1.2307,0,0.001505,0.001505,0.001505
27,83.0043,2.39108,3.10551,1.4809,1.07647,0,0.39511,0.36751,0.29262,0.09764,0.33952,0.31581,0.21845,0.05848,2.46269,3.36894,1.62331,1.14802,0,0.0014852,0.0014852,0.0014852
28,85.8439,2.37376,3.15485,1.48709,1.09441,0,0.38639,0.36679,0.30161,0.09917,0.31627,0.29866,0.2214,0.0566,2.44317,3.39232,1.53283,1.18315,0,0.0014654,0.0014654,0.0014654
