epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.90968,4.5686,6.01274,4.81488,1.83755,0,0,0,0,0,0,0,0,0,3.90499,6.42974,4.14006,1.58759,0,0.000583333,0.000583333,0.000583333
2,5.60271,4.39844,5.61401,4.40539,1.51935,0,0.00527,0.16129,0.00087,0.00014,0.00246,0.07527,0.00041,6e-05,3.82202,10.2127,3.88956,1.31574,0,0.00123763,0.00123763,0.00123763
3,6.21953,4.19749,5.27399,3.24378,1.36554,0,0.00351,0.22581,0.02782,0.01049,0.00469,0.30108,0.01172,0.00291,4.07901,7.1011,3.31584,1.76928,0,0.00187872,0.00187872,0.00187872
4,6.8029,4.10361,5.10239,2.82117,1.26846,0,0.00343,0.25806,0.01335,0.0021,0.00443,0.33333,0.01138,0.0016,3.97804,31.9151,2.84991,1.76573,0,0.0019406,0.0019406,0.0019406
5,7.37606,3.93386,4.48848,2.59974,1.17521,0,0.25164,0.09677,0.0785,0.01707,0.13693,0.13978,0.03585,0.00717,3.83582,10.8215,2.44152,1.46825,0,0.0019208,0.0019208,0.0019208
6,7.96691,3.89584,4.35445,2.52555,1.23314,0,0.00437,0.17204,0.00169,0.00031,0.00422,0.02151,0.00088,0.00013,4.14953,197.077,33.2764,1.77781,0,0.001901,0.001901,0.001901
7,8.53392,3.78478,4.17785,2.35677,1.08773,0,0.08736,0.09163,0.02061,0.00485,0.13281,0.17204,0.04438,0.00914,3.71505,nan,3.04953,1.56634,0,0.0018812,0.0018812,0.0018812
8,9.09917,3.77259,4.05986,2.33063,1.08429,0,0.22282,0.09677,0.05017,0.00738,0.46372,0.1828,0.13869,0.03187,4.17098,5.48972,2.46963,1.82178,0,0.0018614,0.0018614,0.0018614
9,9.66001,3.84429,4.13359,2.2664,1.10482,0,0.0681,0.13673,0.02088,0.00463,0.3871,0.19355,0.15715,0.05151,4.00174,4.69782,3.92766,1.58741,0,0.0018416,0.0018416,0.0018416
10,10.2251,3.72556,3.96351,2.17731,1.08369,0,0.18935,0.2043,0.08086,0.01799,0.33112,0.31183,0.15735,0.03899,3.7838,9.73319,2.81381,1.52869,0,0.0018218,0.0018218,0.0018218
11,10.792,3.71622,3.754,2.29145,1.08937,0,0.17333,0.22581,0.10532,0.01589,0.22398,0.31183,0.13692,0.04255,3.84563,4.0051,3.37336,1.45952,0,0.001802,0.001802,0.001802
12,11.3513,3.79177,4.01529,2.28551,1.05962,0,0.187,0.2043,0.08766,0.01486,0.27159,0.30108,0.1713,0.05187,3.77438,3.48484,2.3391,1.37106,0,0.0017822,0.0017822,0.0017822
13,11.9068,3.72186,3.51224,2.19602,1.05965,0,0.2683,0.23656,0.14074,0.02792,0.38612,0.24731,0.22046,0.05225,3.66854,4.20362,2.51675,1.24947,0,0.0017624,0.0017624,0.0017624
14,12.4689,3.72413,3.70444,2.14379,1.04591,0,0.26727,0.22581,0.1384,0.03523,0.3139,0.26568,0.22684,0.0539,3.54104,4.14477,3.27943,1.27568,0,0.0017426,0.0017426,0.0017426
15,13.025,3.39926,3.71281,2.0927,1.03449,0,0.25947,0.24731,0.14109,0.02783,0.57969,0.2043,0.21973,0.04843,3.683,3.80784,4.09706,1.28863,0,0.0017228,0.0017228,0.0017228
16,13.5578,3.4138,3.52929,2.0652,1.0118,0,0.34532,0.17204,0.13486,0.03124,0.24414,0.23656,0.16458,0.03923,3.67529,3.82272,2.25518,1.2116,0,0.001703,0.001703,0.001703
17,14.0894,3.48452,3.51123,2.11128,1.0242,0,0.31333,0.16129,0.13532,0.03028,0.32826,0.19355,0.15058,0.03309,3.58693,3.53714,2.28209,1.22193,0,0.0016832,0.0016832,0.0016832
18,14.6359,3.52001,3.43621,2.09605,1.00238,0,0.19444,0.25177,0.11334,0.02689,0.30305,0.29032,0.19024,0.042,3.7422,3.92572,2.13302,1.26073,0,0.0016634,0.0016634,0.0016634
19,15.1695,3.51915,3.63117,2.13377,0.99421,0,0.14448,0.26882,0.1012,0.02029,0.26182,0.15054,0.0994,0.02306,3.65794,5.91773,2.99256,1.20546,0,0.0016436,0.0016436,0.0016436
20,15.7141,3.4136,3.40217,2.11441,1.03073,0,0.1559,0.03586,0.01903,0.0036,0.09379,0.02151,0.01538,0.00297,4.27166,86.3429,2.56689,1.58121,0,0.0016238,0.0016238,0.0016238
21,16.2765,3.50192,3.65164,2.08258,0.99999,0,0.29123,0.16129,0.10137,0.01919,0.22144,0.11828,0.10849,0.02422,3.64551,27.6944,2.17563,1.25801,0,0.001604,0.001604,0.001604
22,16.8164,3.47134,3.57154,2.02024,1.01639,0,0.31288,0.22037,0.15265,0.03589,0.28268,0.21505,0.16755,0.04384,3.31536,6.50557,2.00195,1.08943,0,0.0015842,0.0015842,0.0015842
23,17.3523,3.43018,3.38704,2.04308,0.9857,0,0.26901,0.16129,0.12275,0.02816,0.39024,0.11828,0.12405,0.02801,3.32734,5.68341,2.49118,1.10108,0,0.0015644,0.0015644,0.0015644
24,17.8967,3.23161,3.61013,1.97284,0.98517,0,0.24642,0.27779,0.15215,0.03422,0.24801,0.27957,0.16981,0.04657,3.2558,2.86034,1.91524,1.11293,0,0.0015446,0.0015446,0.0015446
25,18.4451,3.46396,3.28184,2.01567,0.99784,0,0.359,0.23656,0.18192,0.04469,0.2767,0.17204,0.11929,0.03322,3.29948,2.81814,2.78479,1.12699,0,0.0015248,0.0015248,0.0015248
26,18.9875,3.37424,3.48324,2.02068,0.99471,0,0.01118,0.26882,0.00458,0.00089,0.01156,0.2043,0.00545,0.0013,3.70022,4.46619,101.252,1.25711,0,0.001505,0.001505,0.001505
27,19.5324,3.31928,3.65801,2.17393,1.01918,0,0.15934,0.18957,0.07233,0.01533,0.12655,0.15054,0.06899,0.02263,3.56195,3.60707,6.32069,1.19945,0,0.0014852,0.0014852,0.0014852
28,20.0657,3.33043,3.42314,1.9273,0.9906,0,0.30157,0.33333,0.21866,0.05666,0.28294,0.32258,0.22327,0.06281,3.33219,2.92426,1.99878,1.11177,0,0.0014654,0.0014654,0.0014654
29,20.6443,3.44298,3.23449,1.9994,1.03672,0,0.3175,0.29012,0.22943,0.04857,0.40787,0.30108,0.26437,0.07362,3.29518,2.94692,1.87684,1.08704,0,0.0014456,0.0014456,0.0014456
30,21.1964,3.38786,3.4381,1.96654,0.99598,0,0.27384,0.34409,0.22418,0.05264,0.30773,0.23656,0.19095,0.06194,3.17036,3.01211,1.75225,1.08724,0,0.0014258,0.0014258,0.0014258
31,21.7474,3.29917,3.33903,1.91995,0.96133,0,0.49173,0.29032,0.25068,0.06691,0.40185,0.23656,0.21861,0.06067,3.27666,2.95922,1.82298,1.08491,0,0.001406,0.001406,0.001406
32,22.3051,3.30211,3.39005,1.95577,0.94248,0,0.42927,0.25806,0.22917,0.07161,0.25082,0.26882,0.20435,0.05836,3.24415,2.91269,1.83711,1.11664,0,0.0013862,0.0013862,0.0013862
33,22.8703,3.36333,3.44215,1.8875,0.99108,0,0.39573,0.26882,0.23919,0.0652,0.30185,0.27957,0.2283,0.06407,3.21469,2.72865,1.84934,1.0825,0,0.0013664,0.0013664,0.0013664
34,23.4304,3.37716,3.46384,1.96174,1.01201,0,0.35991,0.33333,0.20558,0.05874,0.38494,0.33333,0.27417,0.08818,3.12928,2.67417,1.7334,1.07293,0,0.0013466,0.0013466,0.0013466
35,23.9886,3.27451,3.15155,1.99363,0.99081,0,0.32339,0.29032,0.1951,0.05322,0.3173,0.29032,0.21595,0.05411,3.17912,2.64753,1.8459,1.04581,0,0.0013268,0.0013268,0.0013268
36,24.5401,3.34274,3.07036,1.98213,0.97688,0,0.33061,0.25806,0.1845,0.04814,0.35713,0.27957,0.20872,0.05496,3.22797,2.84924,1.86186,1.06403,0,0.001307,0.001307,0.001307
37,25.0733,3.21925,3.4424,1.83323,0.9665,0,0.32494,0.1828,0.12426,0.03378,0.21918,0.19355,0.10955,0.02712,3.62757,3.37751,1.98123,1.09729,0,0.0012872,0.0012872,0.0012872
38,25.616,3.2559,3.21617,1.91503,0.97044,0,0.30729,0.1828,0.14287,0.0283,0.19481,0.16129,0.10406,0.01674,3.7435,3.47287,2.29392,1.12403,0,0.0012674,0.0012674,0.0012674
39,26.1651,3.27171,2.80897,1.86966,0.97221,0,0.15484,0.12903,0.08698,0.02509,0.30758,0.10753,0.0728,0.03335,3.3919,3.52592,3.28257,1.11836,0,0.0012476,0.0012476,0.0012476
40,26.7081,3.31325,3.13623,1.94247,0.98463,0,0.30752,0.25806,0.17852,0.04495,0.2168,0.29032,0.1416,0.04559,3.33695,3.11224,2.39836,1.08719,0,0.0012278,0.0012278,0.0012278
41,27.2446,3.30993,3.27054,1.93111,0.95212,0,0.36663,0.33333,0.24149,0.06175,0.32755,0.34409,0.22711,0.05362,3.15587,2.77595,1.73316,1.05644,0,0.001208,0.001208,0.001208
42,27.7891,3.48146,3.2834,1.91543,0.9768,0,0.34174,0.25806,0.22337,0.05347,0.15552,0.25806,0.11499,0.0258,3.22359,2.58049,1.83641,1.04266,0,0.0011882,0.0011882,0.0011882
43,28.3313,3.19756,3.15104,1.89824,0.96517,0,0.28584,0.27957,0.19868,0.06014,0.23239,0.29032,0.17848,0.06074,3.24466,2.59442,1.78448,1.07254,0,0.0011684,0.0011684,0.0011684
44,28.8656,3.17105,3.11157,1.82989,0.93746,0,0.5869,0.30108,0.28353,0.07382,0.53961,0.29032,0.27214,0.07967,3.07241,2.62216,1.72893,1.03951,0,0.0011486,0.0011486,0.0011486
45,29.4168,3.18792,3.20175,1.91857,0.93542,0,0.39385,0.30044,0.27598,0.08988,0.3284,0.35484,0.25369,0.07797,2.91732,2.54973,1.63349,1.02945,0,0.0011288,0.0011288,0.0011288
