epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.11793,4.29482,5.62841,4.63176,1.79555,0,0.00055,0.01351,3e-05,2e-05,0.00111,0.02703,8e-05,3e-05,3.40387,4.58061,4.24065,1.38021,0,0.000583333,0.000583333,0.000583333
2,4.15975,4.55626,5.60553,4.70229,1.92764,0,0.00055,0.01351,3e-05,1e-05,0.00111,0.02703,8e-05,3e-05,3.40427,4.56944,4.24186,1.38115,0,0.00123763,0.00123763,0.00123763
3,5.11893,4.53987,5.7029,4.73782,1.78142,0,0.00055,0.01351,3e-05,1e-05,0.00111,0.02703,8e-05,3e-05,3.40427,4.56944,4.24186,1.38115,0,0.00187872,0.00187872,0.00187872
4,5.63847,4.54655,6.00155,4.20019,1.87694,0,0.00176,0.10811,0.00022,6e-05,0.0022,0.13514,0.00044,0.00012,4.55909,6.5668,4.10486,1.83738,0,0.0019406,0.0019406,0.0019406
5,6.22592,4.44346,5.13102,3.3059,1.3881,0,0.00148,0.14865,0.01266,0.00327,0.00027,0.02703,0.00089,9e-05,4.08482,14.2417,3.39737,1.64823,0,0.0019208,0.0019208,0.0019208
6,6.7836,4.47188,4.71273,2.83835,1.25214,0,0.00093,0.08108,0.00038,9e-05,0.00109,0.09459,0.00106,0.00014,4.81158,24.2896,5.33028,2.13537,0,0.001901,0.001901,0.001901
7,7.32371,4.42182,4.39852,2.7488,1.22795,0,0.00116,0.14865,0.01582,0.00614,0.00147,0.18919,0.0023,0.00049,4.4706,9.98028,3.91195,2.19242,0,0.0018812,0.0018812,0.0018812
8,7.88518,3.82826,4.22228,2.40049,1.11387,0,0.00048,0.06757,0.00019,5e-05,0.00095,0.13514,0.00016,2e-05,4.66889,11.5923,4.30511,3.10221,0,0.0018614,0.0018614,0.0018614
9,8.4446,3.83183,4.13776,2.5068,1.18962,0,0.00206,0.08108,0.00151,0.00056,0.00309,0.12162,0.00344,0.00043,4.25001,48.403,3.3246,2.31195,0,0.0018416,0.0018416,0.0018416
10,8.97465,3.77248,3.86316,2.32258,1.14154,0,0.05712,0.06757,0.02913,0.00743,0.19138,0.18919,0.07413,0.01268,4.21004,5.25842,2.76849,1.61598,0,0.0018218,0.0018218,0.0018218
11,9.52234,3.60746,3.81159,2.18073,1.07897,0,0.3068,0.12162,0.0749,0.01341,0.18998,0.09459,0.05951,0.01096,3.87633,4.55518,2.62349,1.32807,0,0.001802,0.001802,0.001802
12,10.0681,3.63481,4.08984,2.17507,1.0765,0,0.17634,0.13514,0.04468,0.01099,0.25524,0.2027,0.11428,0.0298,3.70606,4.72996,2.60929,1.33959,0,0.0017822,0.0017822,0.0017822
13,10.6046,3.52762,3.5753,2.19017,1.04034,0,0.16561,0.13514,0.04993,0.01357,0.31789,0.21416,0.14078,0.03418,3.79983,3.56762,2.61177,1.40138,0,0.0017624,0.0017624,0.0017624
14,11.1462,3.62407,3.59136,2.11808,1.00946,0,0.11563,0.19083,0.06522,0.01708,0.35629,0.24324,0.13141,0.03052,3.87397,3.5945,3.38329,1.36154,0,0.0017426,0.0017426,0.0017426
15,11.6778,3.55641,3.6756,2.17833,1.05838,0,0.1889,0.13514,0.05893,0.01745,0.33012,0.22973,0.14552,0.03469,3.7249,3.44915,3.21103,1.19868,0,0.0017228,0.0017228,0.0017228
16,12.2299,3.71859,3.62192,2.14625,1.0294,0,0.31912,0.13514,0.07839,0.02453,0.45159,0.25676,0.23409,0.04287,3.70629,3.28339,2.25882,1.18183,0,0.001703,0.001703,0.001703
17,12.783,3.67831,3.37722,2.12485,1.0225,0,0.28247,0.18919,0.0967,0.01658,0.26094,0.17568,0.10417,0.02567,3.53118,2.67327,2.38527,1.13266,0,0.0016832,0.0016832,0.0016832
18,13.3295,3.42268,3.38678,2.08229,1.04239,0,0.1816,0.21622,0.08261,0.01728,0.23321,0.22973,0.13452,0.04504,3.59038,2.93118,2.46462,1.09121,0,0.0016634,0.0016634,0.0016634
19,13.8606,3.39355,3.69816,2.07349,1.04406,0,0.32243,0.16216,0.10467,0.02439,0.3591,0.22973,0.14321,0.04503,3.55923,3.04836,2.4137,1.07732,0,0.0016436,0.0016436,0.0016436
20,14.4018,3.49736,3.55071,2.05608,1.00654,0,0.21976,0.14865,0.08228,0.0166,0.28875,0.21622,0.15539,0.03964,3.76627,2.73621,2.40991,1.1562,0,0.0016238,0.0016238,0.0016238
21,14.9436,3.52486,3.4632,2.02951,1.06011,0,0.2493,0.09459,0.04746,0.01117,0.30143,0.22973,0.16287,0.05147,3.78837,2.8798,2.59986,1.19497,0,0.001604,0.001604,0.001604
22,15.4765,3.55744,3.53145,2.01726,1.0229,0,0.15746,0.13514,0.05662,0.01924,0.27706,0.25676,0.14897,0.03595,3.7739,3.02293,2.73092,1.13598,0,0.0015842,0.0015842,0.0015842
23,16.0082,3.51767,3.44916,2.02545,0.98826,0,0.2475,0.17568,0.09036,0.0241,0.33177,0.2973,0.21993,0.05131,3.81498,3.05008,2.3336,1.12967,0,0.0015644,0.0015644,0.0015644
24,16.5703,3.55049,3.41239,2.01341,1.01586,0,0.22418,0.14865,0.08728,0.01738,0.29035,0.24324,0.1769,0.03515,3.65609,2.87063,2.66328,1.07545,0,0.0015446,0.0015446,0.0015446
25,17.1008,3.29153,3.20698,1.97517,1.02014,0,0.35186,0.13514,0.10405,0.02048,0.44979,0.22973,0.19631,0.03967,3.6999,2.72047,2.73718,1.09652,0,0.0015248,0.0015248,0.0015248
26,17.631,3.14129,3.46338,2.01945,1.0144,0,0.21932,0.18919,0.10465,0.02235,0.52064,0.26428,0.23314,0.04002,3.83435,2.50545,2.25241,1.0956,0,0.001505,0.001505,0.001505
27,18.1784,3.28078,3.25222,1.8801,1.01208,0,0.3273,0.17568,0.12427,0.03413,0.57907,0.24172,0.2574,0.04945,3.62065,2.33535,2.31579,1.10765,0,0.0014852,0.0014852,0.0014852
28,18.7483,3.3381,2.91906,1.84363,0.9879,0,0.25694,0.18919,0.10817,0.03101,0.3127,0.22973,0.18427,0.03747,3.52727,2.4181,2.18331,1.01493,0,0.0014654,0.0014654,0.0014654
29,19.3006,3.34519,3.18568,1.92642,0.97867,0,0.25222,0.18919,0.14738,0.03024,0.3288,0.21622,0.1906,0.04313,3.52144,2.38127,2.228,1.01433,0,0.0014456,0.0014456,0.0014456
30,19.8673,3.40941,3.12303,1.88628,1.00402,0,0.48675,0.2027,0.17995,0.04025,0.41269,0.31081,0.24356,0.03991,3.40695,2.51121,2.37919,1.00305,0,0.0014258,0.0014258,0.0014258
31,20.4105,3.35354,3.372,1.82128,0.97688,0,0.21788,0.16216,0.10202,0.02659,0.35607,0.22973,0.18443,0.04192,3.64276,2.73008,2.17626,1.06125,0,0.001406,0.001406,0.001406
32,20.9493,3.48553,3.10377,1.90817,0.98449,0,0.21827,0.17359,0.09698,0.02111,0.28183,0.25676,0.14898,0.03142,3.67262,2.74445,2.31481,1.05716,0,0.0013862,0.0013862,0.0013862
33,21.4774,3.24593,3.26651,1.86006,1.0139,0,0.21258,0.18919,0.1046,0.02886,0.3621,0.32432,0.20918,0.04159,3.7021,2.85551,2.24803,1.10919,0,0.0013664,0.0013664,0.0013664
34,22.0096,3.18149,3.08252,1.80439,1.01943,0,0.22491,0.17568,0.10826,0.02434,0.5478,0.27027,0.25267,0.05359,3.71886,2.69853,2.36314,1.10455,0,0.0013466,0.0013466,0.0013466
35,22.5372,2.97654,3.35787,1.7285,0.98092,0,0.3187,0.16216,0.12996,0.03286,0.33641,0.19187,0.1785,0.02982,3.71721,2.95237,2.27271,1.08778,0,0.0013268,0.0013268,0.0013268
36,23.0739,3.23718,3.18274,1.75498,0.9895,0,0.1929,0.16216,0.0782,0.01761,0.39385,0.21622,0.19478,0.02928,3.8307,3.00793,2.34892,1.05084,0,0.001307,0.001307,0.001307
37,23.5962,3.17384,3.34598,1.65704,0.94495,0,0.27089,0.17568,0.12508,0.03152,0.43733,0.18919,0.19041,0.03846,3.67997,2.70595,2.30779,1.00441,0,0.0012872,0.0012872,0.0012872
38,24.1181,3.28208,3.23118,1.82549,1.03657,0,0.40299,0.12162,0.10867,0.02557,0.35737,0.2027,0.16617,0.03059,3.67564,2.5352,2.32699,1.05408,0,0.0012674,0.0012674,0.0012674
39,24.6445,3.17384,3.21556,1.75713,0.99391,0,0.15657,0.25676,0.09182,0.02738,0.25066,0.21622,0.17489,0.04282,3.65679,2.57935,2.22552,1.08884,0,0.0012476,0.0012476,0.0012476
40,25.1722,3.13088,2.97712,1.85075,0.96974,0,0.27252,0.17568,0.10465,0.02564,0.37981,0.25676,0.1804,0.04471,3.47362,2.31701,2.19418,1.02844,0,0.0012278,0.0012278,0.0012278
41,25.7083,3.25955,3.08012,1.81827,0.96643,0,0.31618,0.12162,0.14275,0.02978,0.4046,0.27027,0.27916,0.08634,3.63222,2.33053,2.29936,1.0734,0,0.001208,0.001208,0.001208
42,26.2456,3.20476,3.04063,1.78501,0.98573,0,0.24266,0.18919,0.12623,0.02852,0.40005,0.2973,0.2275,0.05018,3.56243,2.51823,2.07957,1.05251,0,0.0011882,0.0011882,0.0011882
43,26.7715,3.25053,2.99784,1.8578,0.97273,0,0.31652,0.18919,0.16304,0.03882,0.31171,0.2027,0.17196,0.03632,3.52702,2.6108,2.09855,1.07192,0,0.0011684,0.0011684,0.0011684
44,27.2997,3.09021,3.21185,1.84336,0.97871,0,0.31699,0.16216,0.13026,0.03655,0.17597,0.2973,0.16347,0.03115,3.47934,2.72393,2.17075,1.01786,0,0.0011486,0.0011486,0.0011486
45,27.833,3.2272,3.01411,1.84366,0.97098,0,0.15506,0.2027,0.09677,0.03219,0.2164,0.25676,0.1777,0.04067,3.54051,2.61926,2.30786,0.99897,0,0.0011288,0.0011288,0.0011288
46,28.3765,3.2861,2.9705,1.74938,0.98387,0,0.36091,0.12162,0.08893,0.02674,0.26418,0.24324,0.16899,0.05278,3.60179,2.48791,2.25806,1.0495,0,0.001109,0.001109,0.001109
47,28.9259,3.13638,3.04117,1.72748,0.97859,0,0.35861,0.2027,0.12552,0.03232,0.31423,0.20437,0.18368,0.04257,3.55075,2.58236,2.1512,1.03466,0,0.0010892,0.0010892,0.0010892
48,29.4703,3.14017,2.90454,1.73679,0.93701,0,0.30168,0.18919,0.14273,0.04055,0.34477,0.2027,0.18016,0.03906,3.48849,2.53225,2.17088,1.03428,0,0.0010694,0.0010694,0.0010694
49,30.0084,3.26255,2.94762,1.74642,0.96813,0,0.23666,0.18919,0.10127,0.02929,0.33172,0.27027,0.20119,0.04304,3.41646,2.31869,2.29069,1.01519,0,0.0010496,0.0010496,0.0010496
50,30.5521,3.14029,3.0138,1.62931,0.94016,0,0.24025,0.2027,0.11313,0.03531,0.32267,0.27039,0.23146,0.05242,3.31282,2.26006,2.18995,1.01258,0,0.0010298,0.0010298,0.0010298
51,31.1082,3.11728,2.87541,1.72836,0.92085,0,0.2418,0.21622,0.10496,0.03252,0.34883,0.25676,0.23085,0.04844,3.30683,2.3064,2.19469,1.00181,0,0.00101,0.00101,0.00101
52,31.6524,3.14857,3.36246,1.8034,0.9537,0,0.23321,0.17568,0.09931,0.03501,0.34044,0.18919,0.14105,0.0313,3.26474,2.34622,2.16322,0.98473,0,0.0009902,0.0009902,0.0009902
53,32.1944,3.0708,3.21353,1.73517,0.9561,0,0.32614,0.18919,0.13587,0.03763,0.49424,0.251,0.23019,0.05513,3.27666,2.25377,2.17502,0.98762,0,0.0009704,0.0009704,0.0009704
54,32.7498,3.12555,2.86829,1.68401,0.90946,0,0.33025,0.21622,0.12432,0.03399,0.43661,0.2973,0.25338,0.05435,3.37016,2.20794,2.14883,1.00841,0,0.0009506,0.0009506,0.0009506
55,33.2989,3.15399,2.95786,1.72152,0.96787,0,0.30157,0.22973,0.15911,0.03983,0.40703,0.31081,0.27261,0.05638,3.30895,2.17811,2.11866,1.01467,0,0.0009308,0.0009308,0.0009308
56,33.8459,2.87486,2.69024,1.61832,0.95515,0,0.31818,0.2027,0.15916,0.03571,0.49941,0.28378,0.27454,0.06256,3.33944,2.11122,2.05887,1.01511,0,0.000911,0.000911,0.000911
57,34.3854,3.10667,2.97271,1.72704,0.95365,0,0.36696,0.17568,0.15454,0.03898,0.39196,0.28378,0.22693,0.04945,3.35569,2.3003,2.04552,1.01773,0,0.0008912,0.0008912,0.0008912
58,34.9395,3.13511,2.95779,1.72388,0.96765,0,0.2512,0.2027,0.12496,0.04079,0.35368,0.28378,0.21829,0.04616,3.32293,2.36034,2.11046,1.02671,0,0.0008714,0.0008714,0.0008714
